"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2016","4162","NON","Non Standard Session","AMID","AMID-C","481","37436","INTNSV SEM COMPREHENSV DESIGN","Wu,Jiangmei","11","17","3.618","2.941","72.7","72.7","27.3","0","0","6","2","2","4","1","1","1","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","NON","Non Standard Session","AMID","AMID-C","481","37437","INTNSV SEM COMPREHENSV DESIGN","Wu,Jiangmei","11","13","3.191","2.763","63.6","54.5","18.2","27.3","0","2","1","2","3","0","0","2","2","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-D","168","3379","INTERIOR DESIGN STUDIO 1","Kim,Jee Yea","28","39","3.389","2.755","24.1","60.7","25","7.1","3.6","12","4","10","3","4","3","0","1","1","0","1","0","0","1","1","10","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-D","191","15068","DESIGN STUDIES:FORM & FUNCTION","Smith,Kennon Michelle","32","40","3.472","3.168","34.4","75","15.6","0","3.1","10","0","21","3","1","3","1","0","0","0","0","1","0","2","0","8","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-D","201","33848","3D MODELING DSGN/DGTL FABRCTN","Racek,Jonathan","19","22","3.479","3.373","75","57.9","36.8","5.3","0","3","0","4","7","4","2","1","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-D","263","11421","DESIGN METHODS","Mitchell,C. Thomas","12","14","3.367","3.199","75","50","41.7","8.3","0","2","1","3","2","1","3","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-D","263","15554","DESIGN METHODS","Mitchell,C. Thomas","10","11","3.41","3.456","90.9","60","30","10","0","1","3","2","1","0","2","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-D","264","12596","DIGITAL ARCHITECTURAL DRAWING","Kim,Jee Yea","22","29","2.991","2.96","30.4","54.5","13.6","22.7","0","9","1","7","4","0","3","0","2","1","2","0","0","0","2","1","6","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-D","272","3382","INTERIOR DESIGN STUDIO 3","Joyner,Louis D.","22","24","3.641","3.322","82.6","72.7","22.7","4.5","0","2","4","8","4","1","3","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-D","277","9193","MTLS & COMPONENTS OF INT DES","Joyner,Louis D.","22","24","3.468","3.322","82.6","45.5","54.5","0","0","2","5","5","0","5","3","4","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","8W1","Eight Week - First","AMID","AMID-D","336","9386","LIGHTING INTERIOR SPACE 2","Shakespeare,Marie D","16","16","3.644","3.312","100","62.5","37.5","0","0","0","2","4","4","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-D","374","3385","INTERIOR DESIGN STUDIO 5","Wu,Jiangmei","15","15","3.633","3.287","100","73.3","26.7","0","0","0","1","4","6","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-D","476","16229","INTERIOR DESIGN STUDIO 7","Newman,Marleen","8","8","3.963","3.47","87.5","100","0","0","0","0","2","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-D","476","3387","INTERIOR DESIGN STUDIO 7","Racek,Jonathan","13","13","3.738","3.228","100","69.2","30.8","0","0","0","0","8","1","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-F","202","11416","INTRO TEXTILE SCIENCE: LAB","Keogh,Molly Dove","17","21","3.465","3.002","88.9","64.7","29.4","5.9","0","4","1","4","6","1","2","2","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-F","202","11417","INTRO TEXTILE SCIENCE: LAB","Keogh,Molly Dove","15","18","3.553","3.096","56.3","60","33.3","6.7","0","3","3","5","1","3","1","1","0","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-F","202","11418","INTRO TEXTILE SCIENCE: LAB","Shah,Anushree","19","24","3.547","2.899","85","63.2","31.6","5.3","0","5","3","5","4","2","3","1","1","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","AMID","AMID-F","202","32605","INTRO TEXTILE SCIENCE: LAB","Shah,Anushree","15","21","3.8","3.135","40","86.7","6.7","6.7","0","6","5","6","2","1","0","0","1","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","06-10-2016",
