DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W
BIOL,352,FUNGI - LABORATORY,,23,24,3.317,3.345,47.8,34.8,17.4,0,0
BIOL,371,ECOLOGICAL PLANT PHYSIOLOGY,"Hangarter,Roger P.",14,16,3.386,3.264,64.3,28.6,0,0,0
BIOL,901,ADVANCED RESEARCH,"Fuqua,Clay",6,55,3.833,3.873,83.3,16.7,0,0,0
BIOL,111,INTEGR FRESHMAN LRNG EXP I,"Shaw,Sidney",17,17,3.824,3.798,88.2,5.9,5.9,0,0
BIOL,104,INTRODUCTORY BIOLOGY LECTURES,"Bender,Alan David",41,64,3.666,3.202,80.5,12.2,7.3,0,6
BIOL,104,INTRODUCTORY BIOLOGY LECTURES,"Chooi,Yean W",98,118,2.863,2.999,40.8,24.5,21.4,6.1,6
BIOL,104,INTRODUCTORY BIOLOGY LECTURES,"Mojonnier,Laura Ellen",63,71,3.057,3.16,41.3,31.7,23.8,1.6,0
BIOL,104,INTRODUCTORY BIOLOGY LECTURES,"Chooi,Yean W",65,78,3.188,2.941,49.2,27.7,16.9,3.1,6
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Wade,Michael J.",47,55,3.657,3.401,76.6,21.3,0,0,2
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Hengeveld,Susan E.",64,76,2.983,3.182,39.1,37.5,12.5,7.8,4
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Ragsdale,Erik",46,57,2.739,3.128,32.6,32.6,17.4,10.9,5
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Wade,Michael J.",123,135,3.057,3.032,45.5,30.1,11.4,10.6,3
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Hengeveld,Susan E.",178,201,2.552,2.945,25.8,30.3,25.3,11.8,12
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Berndtson,Amy",93,106,2.941,3.109,44.1,28,17.2,4.3,6
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Zolan,Miriam E.",227,257,2.97,3.064,32.6,41.9,19.4,4.4,19
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Berndtson,Amy",177,205,2.845,3.145,32.8,36.2,17.5,11.3,17
